iso,year,migrant_stock,refugee_stock,disaster_displacement,conflict_displacement,climate_change,air_quality,rule_of_law,gov_effectiveness,corruption_control,state_legit,cpa_d_12,cpa_d_avg,gdp,hdi_value,gini,country_name,region,donor,sids,ldc
TJK,2007,NA,NA,NA,NA,98.2,57.35,-1.292668,-1.110595,-1.0369540000000002,1,3,3.1,0.6994219212,0.621,32.2,Tajikistan,Central and West Asia,0,0,0
TKM,2007,NA,NA,NA,NA,58.2,62.099999999999994,-1.5719100000000001,-1.4318,-1.523284,1,NA,NA,3.353144774,NA,NA,Turkmenistan,Central and West Asia,0,0,0
TLS,2007,NA,NA,NA,NA,NA,89.64,-1.192855,-1.1319059999999999,-0.6503536999999999,0.5,2,2.8,0.9326149467,0.585,27.8,Timor-Leste,Southeast Asia,0,1,1
TON,2007,NA,NA,NA,NA,75.45,59.22,0.45699880000000004,-0.4798010999999999,-1.0395379999999999,NA,3,3.5,3.8167649950000007,0.686,NA,Tonga,Oceania,0,1,0
TUV,2007,NA,NA,NA,NA,NA,NA,1.004729,-0.45072159999999994,-0.23619400000000002,NA,4,3.1,2.892968657,NA,NA,Tuvalu,Oceania,0,1,1
TWN,2007,NA,NA,NA,NA,65.5,57.8,0.7894508000000001,1.114303,0.5250053000000001,NA,NA,NA,NA,NA,NA,"Taipei,China",East Asia,1,0,0
UZB,2007,NA,NA,NA,NA,46.9,55.400000000000006,-1.221515,-1.113672,-1.031079,0.8000000000000007,2.5,2.5,1.7874902129999999,0.649,NA,Uzbekistan,Central and West Asia,0,0,0
VNM,2007,NA,NA,NA,NA,74.7,60.199999999999996,-0.49249030000000005,-0.24051039999999999,-0.6293012,3,4,4,1.4322058140000002,0.64,NA,Viet Nam,Southeast Asia,0,0,0
VUT,2007,NA,NA,NA,NA,75.45,70.35,0.5561355,-0.4346451,0.22715239999999998,NA,3,3.1,2.789798616,0.583,NA,Vanuatu,Oceania,0,1,0
WSM,2007,NA,NA,NA,NA,77.76,71.7,0.8886780000000001,0.20268470000000002,0.246864,3.3,4.5,4.4,4.31496396,0.686,NA,Samoa,Oceania,0,1,0
AFG,2008,NA,NA,0,0,NA,53.76,-1.86438,-1.496089,-1.638287,0.8000000000000007,1.5,2.3,0.3989711165,0.447,NA,Afghanistan,South Asia,0,0,1
ARM,2008,NA,NA,NA,NA,87.2,86,-0.34052659999999996,-0.17269389999999998,-0.7080976,3.5,4,3.9,3.335244164,0.745,29.2,Armenia,Central and West Asia,0,0,0
AUS,2008,NA,NA,0,0,42.5,91.4,1.7708509999999997,1.79397,2.042482,9,NA,NA,53.33860278,0.926,35.4,Australia,Oceania,1,0,0
