country_name,iso,year,value.Control of Corruption: Estimate,value.Government Effectiveness: Estimate,value.Rule of Law: Estimate,data_source
Turkmenistan,TKM,2015,-1.346857,-0.8507059,-1.417884,WWGI
Tuvalu,TUV,2015,-0.0328858,-0.9637454,0.3569353,WWGI
Uzbekistan,UZB,2015,-1.262162,-0.6720677,-1.111262,WWGI
Vanuatu,VUT,2015,-0.1167238,-0.7838682,0.1040307,WWGI
Vietnam,VNM,2015,-0.4261853,0.067127,-0.3394253,WWGI
Afghanistan,AFG,2016,-1.526172,-1.226401,-1.498478,WWGI
Armenia,ARM,2016,-0.571828,-0.1583772,-0.119234,WWGI
Australia,AUS,2016,1.816108,1.568043,1.755667,WWGI
Azerbaijan,AZE,2016,-0.8383624,-0.165814,-0.5200193,WWGI
Bangladesh,BGD,2016,-0.8569472,-0.678781,-0.6636689,WWGI
Bhutan,BTN,2016,1.126535,0.5002068,0.4934784,WWGI
Brunei Darussalam,BRN,2016,0.5684822,1.083784,0.5616808,WWGI
Cambodia,KHM,2016,-1.272752,-0.6942337,-1.063893,WWGI
China,CHN,2016,-0.2539508,0.3545941,-0.3345477,WWGI
"Hong Kong SAR, China",HKG,2016,1.561693,1.841636,1.722995,WWGI
Cook Islands,COK,2016,,,,WWGI
Fiji,FJI,2016,0.130379,-0.2490013,-0.2745952,WWGI
Georgia,GEO,2016,0.6854092,0.5179425,0.3836238,WWGI
India,IND,2016,-0.2821474,0.0749455,-0.0289695,WWGI
Indonesia,IDN,2016,-0.3992099,0.0074111,-0.3448857,WWGI
Japan,JPN,2016,1.524966,1.821532,1.421093,WWGI
Kazakhstan,KAZ,2016,-0.8165768,-0.0672612,-0.4352354,WWGI
Kiribati,KIR,2016,0.2496047,-0.4339803,0.2362976,WWGI
Kyrgyz Republic,KGZ,2016,-1.079152,-0.8957096,-1.023083,WWGI
Lao PDR,LAO,2016,-0.952299,-0.3983734,-0.7960193,WWGI
Malaysia,MYS,2016,0.09614,0.8654159,0.4991277,WWGI
Maldives,MDV,2016,-0.666067,-0.3215832,-0.4077393,WWGI
Marshall Islands,MHL,2016,-0.0510468,-1.56623,-0.0982721,WWGI
"Micronesia, Fed. Sts.",FSM,2016,0.6546528,-0.3351288,-0.050868,WWGI
Mongolia,MNG,2016,-0.4870812,-0.0982263,-0.2203148,WWGI
Myanmar,MMR,2016,-0.6210097,-0.9763568,-0.8871843,WWGI
Nauru,NRU,2016,-0.4280255,-0.6884593,-0.7754999,WWGI
Nepal,NPL,2016,-0.7997717,-0.8265509,-0.795664,WWGI
New Zealand,NZL,2016,2.283908,1.842496,1.95464,WWGI
Papua New Guinea,PNG,2016,-0.9332389,-0.7375593,-0.7766212,WWGI
Niue,NIU,2016,,,,WWGI
Pakistan,PAK,2016,-0.8753213,-0.6534616,-0.8045743,WWGI
Palau,PLW,2016,-0.4280255,-0.4018162,0.3240755,WWGI
Philippines,PHL,2016,-0.4881241,-0.0104617,-0.3550694,WWGI
Samoa,WSM,2016,0.2764556,0.5403722,0.761978,WWGI
Singapore,SGP,2016,2.088079,2.20568,1.825398,WWGI
Solomon Islands,SLB,2016,-0.3442692,-0.9847264,-0.3190676,WWGI
"Korea, Rep.",KOR,2016,0.4569813,1.063653,1.160903,WWGI
Sri Lanka,LKA,2016,-0.3106176,-0.0263917,0.1105179,WWGI
"Taiwan, China",TWN,2016,0.8802445,1.361005,1.141401,WWGI
Tajikistan,TJK,2016,-1.14638,-1.026927,-1.148247,WWGI
Thailand,THA,2016,-0.3888684,0.3417524,-0.0049648,WWGI
Timor-Leste,TLS,2016,-0.510558,-1.014373,-1.158385,WWGI
