country_name,iso,year,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",CPIA quality of public administration rating (1=low to 6=high),CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),data_source
Timor-Leste,TLS,2016,2.5,2,2,CPIA
Tuvalu,TUV,2016,3.5,2.5,3,CPIA
Uzbekistan,UZB,2016,2,3,3.5,CPIA
Vietnam,VNM,2016,,,,CPIA
Vanuatu,VUT,2016,3,3,3.5,CPIA
Afghanistan,AFG,2017,2,2.5,2.5,CPIA
Armenia,ARM,2017,,,,CPIA
Bangladesh,BGD,2017,2.5,2.5,3,CPIA
Bhutan,BTN,2017,4.5,4,4,CPIA
Cambodia,KHM,2017,2,2.5,3,CPIA
Fiji,FJI,2017,,,,CPIA
Georgia,GEO,2017,,,,CPIA
India,IND,2017,,,,CPIA
Kiribati,KIR,2017,3.5,3,3,CPIA
Kyrgyz Republic,KGZ,2017,3,3,2.5,CPIA
Lao PDR,LAO,2017,2.5,3,3.5,CPIA
Maldives,MDV,2017,2.5,3,3,CPIA
Marshall Islands,MHL,2017,3.5,2,3,CPIA
"Micronesia, Fed. Sts.",FSM,2017,3.5,2.5,2.5,CPIA
Mongolia,MNG,2017,3.5,3,3.5,CPIA
Myanmar,MMR,2017,2.5,2.5,2.5,CPIA
Nepal,NPL,2017,3,3,3.5,CPIA
Pakistan,PAK,2017,3,3,3,CPIA
Papua New Guinea,PNG,2017,3,3,2,CPIA
Samoa,WSM,2017,4,4,3.5,CPIA
Solomon Islands,SLB,2017,3,2,2.5,CPIA
Sri Lanka,LKA,2017,,,,CPIA
Tajikistan,TJK,2017,2.5,3,3,CPIA
Timor-Leste,TLS,2017,2.5,2,2,CPIA
Tuvalu,TUV,2017,3.5,2.5,3,CPIA
Uzbekistan,UZB,2017,2,3,3.5,CPIA
Vietnam,VNM,2017,,,,CPIA
Vanuatu,VUT,2017,3,3,3.5,CPIA
Afghanistan,AFG,2018,2,2.5,2.5,CPIA
Armenia,ARM,2018,,,,CPIA
Bangladesh,BGD,2018,2.5,2.5,3,CPIA
Bhutan,BTN,2018,4.5,4,4,CPIA
Cambodia,KHM,2018,1.5,2.5,3,CPIA
Fiji,FJI,2018,,,,CPIA
Georgia,GEO,2018,,,,CPIA
India,IND,2018,,,,CPIA
Kiribati,KIR,2018,3.5,3,3,CPIA
Kyrgyz Republic,KGZ,2018,3,3,3,CPIA
Lao PDR,LAO,2018,2.5,3,3.5,CPIA
Maldives,MDV,2018,2.5,3,3,CPIA
Marshall Islands,MHL,2018,3.5,2,3,CPIA
"Micronesia, Fed. Sts.",FSM,2018,3.5,2.5,2.5,CPIA
Mongolia,MNG,2018,3,3,3.5,CPIA
Myanmar,MMR,2018,2.5,2.5,2.5,CPIA
Nepal,NPL,2018,3,3,3.5,CPIA
Pakistan,PAK,2018,3,3,3,CPIA
