country_name,iso,year,value.Control of Corruption: Estimate,value.Government Effectiveness: Estimate,value.Political Stability and Absence of Violence/Terrorism: Estimate,value.Regulatory Quality: Estimate,value.Rule of Law: Estimate,value.Voice and Accountability: Estimate,data_source
Kazakhstan,KAZ,2014,-0.8304356,-0.0430555,0.0360182,-0.2515877,-0.5981513,-1.183921,WWGI
Kiribati,KIR,2014,0.2519078,-0.5611627,0.8018658,-0.919149,-0.1244644,0.9397047,WWGI
Kyrgyz Republic,KGZ,2014,-1.127966,-0.8659378,-0.8046157,-0.434673,-0.9270172,-0.4624974,WWGI
Lao PDR,LAO,2014,-0.8490463,-0.4157525,0.498693,-0.8496193,-0.751461,-1.73322,WWGI
Malaysia,MYS,2014,0.4112889,1.114984,0.2666191,0.8377209,0.5882153,-0.3603031,WWGI
Maldives,MDV,2014,-0.3765603,-0.362095,0.6790962,-0.3442715,-0.5302707,-0.3722163,WWGI
Marshall Islands,MHL,2014,-0.107671,-1.559072,0.9895858,-0.9499308,-0.2221721,1.154828,WWGI
Mongolia,MNG,2014,-0.4737496,-0.4359458,0.7919012,-0.2714638,-0.3448353,0.2414446,WWGI
Myanmar,MMR,2014,-0.8821717,-1.279958,-1.087581,-1.380308,-1.185768,-1.343992,WWGI
Nauru,NRU,2014,-0.4725188,-0.5690626,0.6013344,-1.238945,-1.009193,0.8073976,WWGI
New Zealand,NZL,2014,2.253601,1.932078,1.467928,1.950351,2.008719,1.524384,WWGI
Niue,NIU,2014,,,,,,,WWGI
Pakistan,PAK,2014,-0.833827,-0.7555079,-2.401279,-0.6828627,-0.7604407,-0.7160239,WWGI
Palau,PLW,2014,-0.4725188,-0.5690626,0.9895858,-0.8197579,0.2755073,1.176771,WWGI
Papua New Guinea,PNG,2014,-0.9104193,-0.6131731,-0.3393671,-0.3448819,-0.8018588,0.0125041,WWGI
China,CHN,2014,-0.3400132,0.3225908,-0.522584,-0.2829926,-0.414574,-1.616668,WWGI
Philippines,PHL,2014,-0.4370157,0.1927041,-0.7138209,-0.0368149,-0.3174057,0.159266,WWGI
"Korea, Rep.",KOR,2014,0.5477043,1.164612,0.1085688,1.110693,0.9934545,0.680226,WWGI
Samoa,WSM,2014,0.2961685,0.454568,1.121905,-0.1868363,0.7173197,0.6650296,WWGI
Solomon Islands,SLB,2014,-0.2779049,-1.068603,0.4702248,-1.080401,-0.5023792,0.2265697,WWGI
Sri Lanka,LKA,2014,-0.3438012,0.0535279,-0.330464,-0.1011968,-0.1701762,-0.667201,WWGI
Tajikistan,TJK,2014,-1.12716,-0.7831218,-0.6933408,-1.016256,-1.011117,-1.495486,WWGI
Thailand,THA,2014,-0.4502288,0.3376566,-0.9063863,0.2732638,-0.1914607,-0.8747826,WWGI
Timor-Leste,TLS,2014,-0.5263678,-1.181185,-0.1796949,-0.8895317,-1.121661,0.1487806,WWGI
Tonga,TON,2014,-0.3144411,-0.0695224,0.8471965,-0.406627,-0.1459795,0.663713,WWGI
Turkmenistan,TKM,2014,-1.314402,-0.8427268,0.074206,-2.058527,-1.364684,-2.259159,WWGI
Tuvalu,TUV,2014,-0.0145656,-0.9272263,1.299327,-0.8787953,0.3735487,1.045113,WWGI
Uzbekistan,UZB,2014,-1.185251,-0.6288043,-0.2731086,-1.710769,-1.12977,-1.913252,WWGI
Vanuatu,VUT,2014,0.4618848,-0.5343668,0.6360453,-0.322363,0.1785327,0.5912405,WWGI
Vietnam,VNM,2014,-0.4361547,-0.0708256,-0.0223474,-0.587682,-0.3599141,-1.374715,WWGI
Nepal,NPL,2015,-0.5780753,-1.053868,-0.9983346,-0.7995815,-0.6769011,-0.4154409,WWGI
Afghanistan,AFG,2015,-1.342216,-1.323176,-2.571222,-0.9973711,-1.504086,-1.117563,WWGI
Armenia,ARM,2015,-0.5338398,-0.1610711,-0.2523326,0.2418069,-0.3879299,-0.5362936,WWGI
Australia,AUS,2015,1.882711,1.564191,0.8849798,1.788684,1.825073,1.355591,WWGI
Azerbaijan,AZE,2015,-0.9300975,-0.2576264,-0.7295656,-0.2547193,-0.6737632,-1.552387,WWGI
Bangladesh,BGD,2015,-0.8084212,-0.723855,-1.212018,-0.8990583,-0.7513467,-0.5120469,WWGI
Bhutan,BTN,2015,1.022701,0.4060493,0.974715,-0.7134356,0.5222453,-0.0348184,WWGI
Brunei Darussalam,BRN,2015,0.5727226,1.059632,1.242662,0.852387,0.4078772,-0.7541477,WWGI
Cambodia,KHM,2015,-1.118153,-0.6996924,0.0619423,-0.5250493,-0.9785324,-1.122615,WWGI
Cook Islands,COK,2015,,,,,,,WWGI
"Micronesia, Fed. Sts.",FSM,2015,0.6807384,-0.3972601,1.035154,-0.9827493,-0.295624,1.134735,WWGI
Fiji,FJI,2015,0.170082,-0.2915429,0.5803087,-0.3621247,-0.4041793,0.0277804,WWGI
